Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
571746,556092,1110273,9542438,891017
464236,365872,653922,2631894,332411
657061,529671,907266,1371599,379898
288834,219577,1157413,1209259,344498
313867,279305,1244646,1441661,419838
332536,257942,1080772,1006589,404973
358372,279926,435574,967983,369261
377853,297288,427987,596998,351595
345363,287521,411046,535659,198464
339240,269779,388042,396104,149189
397840,343210,490657,466459,191815
321910,295903,443966,2199469,194026
255866,236613,342760,353823,150971
365822,317188,472117,401094,220264
366191,330442,506531,428181,221648
361717,339368,521734,404484,216605
380513,355388,546891,406534,215317
399106,377907,585713,425273,211556
412089,395302,598085,465491,227444
430845,405993,602180,426742,218090
460776,441420,632960,439663,225938
452106,590430,710371,680269,238665
481650,456647,801362,913352,248955
572170,489951,794761,887937,250283
533598,504594,755466,473159,267789
520508,496415,791061,483524,252204
546407,540991,794374,476715,255880
555017,528524,808736,481968,282834
585377,570287,857254,567112,296290
557925,577066,867196,585056,278029
631068,590968,906180,595681,286488
659855,622473,925288,542261,313403
641218,602443,1065321,3404366,322055
676167,636287,1107938,1074156,321386
663594,628517,1108419,1102124,309355
725749,685090,1202000,3523475,337478
729423,684200,1032182,532716,303870
749597,719651,1104037,540746,315969
757482,725019,1125436,551598,314413
799557,773526,1155243,562988,320968
758587,728877,1100702,567994,319780
835464,804977,1210087,587080,331091
816192,794021,1235813,588932,343485
816995,789347,1221649,584960,352504
867863,840903,1228496,572735,362367
870120,826046,1251193,691596,367560
840560,810751,1276898,603758,356953
772512,699589,1041076,553835,187364
762106,767123,1084854,747291,25644
998608,946732,1401175,1124506,31026
1075952,1014354,1583814,1123418,32381
1037514,977452,1486020,1116068,31834
953232,909727,1409976,1043614,28951
1135027,1085955,1705557,1050543,33851
1222666,1169575,1497609,694712,32697
1229241,1186529,1504466,697642,33558
1379047,1258429,1617772,684946,34916
1251027,1214299,1606032,685012,33360
1289758,1234149,1544468,677281,32120
1309266,1254303,1606391,754845,32986
1200109,1197541,1541959,701984,31090
1357842,1301713,1661429,693112,31958
1435066,1397062,1787636,691604,33001
1310331,1288007,1612352,748836,31796
905763,888318,1146218,505913,23652
1366998,1215163,1545280,648375,30194
1107053,1093190,1469639,619195,27220
1176224,1133970,1430583,592817,28470
1147555,1124252,1433565,629083,27673
1099728,1058324,1389826,544822,26118
1174688,1147207,1472683,585483,27347
972641,957234,1268332,494954,23528
1079701,1087393,1522349,678080,24920
1301213,1232147,1893674,1068805,28892
1180907,1150587,1803378,945642,26838
1322205,1246155,13301113,1075478,29032
1539340,1562695,4109761,1294319,32649
1736203,1593502,2356052,1151812,33744
2037280,1673286,1998412,843880,32531
1294915,1322999,1717396,627618,34063
1655319,1573454,1957029,800862,32163
1137566,1122962,1444126,521493,24521
1132786,1091892,1463626,524207,23802
1290292,1276266,1656616,613417,26577
1101923,1087961,1499880,548248,23612
1451063,1409368,1871037,668917,29219
1819717,1769565,2162310,791150,34380
1956012,1889534,2369312,862132,35411
1456819,1421011,1883753,730945,28328
1951521,1734537,2201125,904836,31380
1923380,1836921,2400522,900201,33779
1382374,1349753,1804315,633707,25135
1908685,1871720,2449055,930540,33048
1797651,1740064,2272708,862203,31891
2017113,1937234,2462079,947542,33607
1927868,1859639,2326627,804675,31380
1299129,1298082,1714009,593524,23582
1976869,1924313,2343041,839879,33226
1867263,1828068,2294349,804620,30752
1420305,1359047,1797328,591728,23887
1332577,1316354,2029782,922012,23850
1662653,1596889,2561425,1244413,28021
2086539,1990477,2926329,1520352,34692
2007208,1988822,2878509,1436240,32011
2198577,2037044,3028577,1743298,35400
1799090,1786873,2538784,1189397,29288
1535432,1554027,1971132,664653,24914
2059552,2011129,2427329,846729,30081
1568022,1509899,2030955,674926,25576
1807440,1768524,2235599,769496,28129
1731272,1665417,2326924,842209,27597
1734858,1697257,2259176,786690,27282
1701088,1670312,2279135,792392,26914
1943012,1849131,2411970,854085,28206
2147938,2067782,2647060,972549,31310
2265852,2179379,2810942,1043487,32998
2536233,2464108,3002275,1029647,38636
2567948,2497622,3051390,1034762,40427
2330807,2209401,2854042,925882,31251
2135218,2085331,2634255,882187,29328
1656203,1633007,2245872,708729,24752
2410079,2283934,2961447,1044101,31848
2374532,2293831,3203691,1004688,33212
2299456,2283144,2801604,964634,30874
2088729,2032359,2654349,906695,28447
1891812,1836396,2479044,784725,26240
1767004,1715516,2324563,783117,24794
2108418,2035179,2653515,857936,28618
1885495,1841360,2444957,735098,25085
1879016,1905187,2420846,782263,24967
1968851,1882430,2409654,739234,24843
2048562,2029442,2649343,895861,26795
2213030,2181597,3059109,1132106,27100
2455593,2367443,3096285,1021557,30351
2195013,2496717,3036135,879378,26202
2193614,1983039,2834998,1151723,24141
1938963,1974182,2616919,805655,24454
1948085,1899163,2515777,797888,24243
3124994,2762098,3485943,1125440,33385
3004379,3032084,3715109,1230171,35455
2926197,2858201,3633455,1154072,33276
7825206,4162031,4080366,1390981,32640
2888633,2741887,3436331,1156153,32587
2671027,2651915,3368965,1160123,31625
2334457,2454865,3765242,943173,28796
2730662,2626742,3307789,1055831,30533
2357617,2348633,2984550,917400,27315
2770049,2655605,3310747,1162927,30012
2466863,2437862,3166029,1016871,27720
2103999,2078562,2783437,817740,25447
2189911,2140032,2803733,845802,25185
2161479,2123852,2892728,883448,25731
1963991,1950555,2625952,785809,23571
2118060,2075585,2768188,827564,24489
2411857,2329350,3067601,942765,26412
2091743,2071238,2783232,855170,24658
2067956,2017557,2691175,766090,23138
1944577,1958597,2594998,749699,22190
1961044,1928732,2672733,757248,22554
1932475,1928459,2641723,757143,22049
2025724,2013069,2578982,749349,22068
2433460,2373260,3125806,939467,25613
2153426,2130375,2723017,810547,23392
2138683,2102264,3003862,894969,24009
2258978,2285821,2921180,887974,23973
2213990,2236199,2910938,846558,23432
2190327,2163582,2863663,828146,22840
2016980,2007471,2717266,776690,22054
2140538,2125108,2794098,817932,22559
2002920,2031889,2796848,790161,22106
2179673,2197539,2864191,817026,22538
2133328,2177933,2903250,824033,22312
2466903,2462323,3156531,946129,24749
2405117,2354918,3235867,961049,24751
2273188,2282955,3083676,922360,23617
2345104,2293690,3113404,910822,23089
2276398,2254450,2968761,871001,22960
2121105,2111562,2903106,864239,22142
2232450,2207218,3046111,831192,22386
2209593,2190986,2880077,797097,22114
2710336,2658131,3471202,999044,26472
2284054,2290134,2939723,822441,22302
2673260,2634943,3535941,1077419,26259
2472491,2428032,3323643,960410,23546
2516791,2553820,3294714,962974,24191
2517942,2492192,3222718,928895,23599
2516015,2480287,3301795,950995,24085
2762349,2743892,10173786,988406,24911
2605589,2583689,3416438,973388,24611
2318647,2350284,3134473,848640,22173
2327717,2328323,3190069,876592,22354
2666427,2579060,3489119,1033132,24255
2641780,2584498,3495829,986789,24585
2935292,2817798,3884823,1085056,26516
2523572,2564245,3433381,1028029,23926
2525049,2533425,3515087,970623,30762
2970014,2992134,4180477,1157106,27904
2459858,2427397,3184147,868066,22032
2575426,2513313,3306435,921322,23242
2511175,2524938,3392453,941074,23011
2563035,2504539,3453447,987949,22671
2558124,2533774,3469778,984026,23068
2708628,2683835,3492219,993769,23127
2537819,2582797,3333842,932709,22747
2544357,2527030,3416862,927719,22475
2545362,2532641,3498455,921951,22058
2666954,2630782,3511459,947508,22798
2700323,2677967,3611740,979585,23090
2679004,2689089,3699353,1043093,22765
2583966,2534086,3449679,959675,22415
3015650,2932369,3897744,1123021,25107
2717870,2613352,3579486,980744,23106
2607409,2611389,3346386,924821,22122
2534030,2501400,3469244,934922,22178
2705470,2692093,3709573,995330,23425
2683880,2680496,3525061,1034243,22557
2840138,2775716,3754675,1014822,22866
2797670,2735371,3875903,1076490,22863
2936218,3004870,4905096,1165226,24353
3015691,2955443,4102226,1167628,26154
2778245,2781263,3772543,1023583,23130
2761568,2733877,3752323,999069,23025
2721382,2721546,3789007,1019173,22366
2757066,2698833,3562613,956567,22065
3087980,3014497,4061843,1174422,24577
3398668,3409845,4496062,1266004,26717
2998599,2978167,4146550,1107217,23802
3082536,2864893,3897031,1063842,23001
2935964,2874275,3870081,1027790,23065
3112552,3078585,4165285,1114065,24378
2891591,2871053,3898105,1061416,23217
3327331,3337429,4259989,1123352,25141
3422563,3380836,4534648,1230898,25434
2933810,2888814,4104974,1073605,22851
2909846,2918730,3918861,1044345,22475
2961494,2930114,3904714,1043397,22935
2858162,2896033,3942537,1042041,22992
3712501,3680977,4960347,1279669,28097
3380768,3347543,4293533,1164100,24423
3103741,3193730,4364494,1139036,23224
2993363,2972138,4026845,1151683,22791
3184758,3129180,4238002,1118178,23206
3071293,3020320,4166476,1082962,22455
2944717,2945772,3967838,1040345,21967
3012256,3012501,4068024,1035924,22067
3057987,3015344,4346344,1159061,23418
3136165,3107611,4270807,1131808,23147
3102848,3106379,4589745,1990749,23210
3223252,3235710,4454616,1162307,23410
3157544,3096578,4394139,1118354,22680
3080341,3087589,4221499,1064705,22055
3115139,3088858,4238267,1067195,22691
3290486,3243334,4471177,1183070,23099
3979153,3992920,5094696,1420654,28379
5107271,4924215,6487940,1882562,33953
3234399,3216560,4136048,1087857,22144
3873836,3847778,5333773,1367830,27240
3270946,3262933,4268144,1161807,23158
3291329,3235506,4319354,1091191,22676
3196899,3159610,4622401,1184212,23052
3351274,3306976,4622943,1226096,23411
3324617,3335401,4374762,1168571,22851
3172396,3144673,4338617,1117969,22214
3284513,3269282,4248898,1088573,23014
4100362,4037227,5308414,1321512,26962
3573837,3532561,4768275,1244044,23616
3506724,3453106,4719140,1231869,23673
3502273,3433833,4585361,1173256,23043
